zipcode,population
84102,17421
84111,10744
84105,22140
84057,36666
84106,33384
84094,28069
84084,37247
84120,48956
84047,28936
84123,37900
84067,37444
84119,53077
84093,23130
84117,24305
84107,30863
84115,24668
84118,68295
84088,35603
84124,21295
84097,21322
84070,24861
84041,44625
84010,44821
84015,62494
84101,5277
84606,32291
84081,40732
84014,15268
84128,27983
84058,30540
84112,1942
84601,31486
84095,50566
84040,23026
84054,16196
84065,38168
84037,33369
84405,31348
84332,7218
84075,24506
84341,20109
84414,26507
84020,39765
84043,49030
84025,18255
84103,21084
84042,10094
84401,35622
84104,24869
84062,43269
84113,245
84087,13983
84403,36582
84116,33297
84318,3918
84045,16875
84790,35770
84770,39131
84003,42384
84005,21410
84121,41702
84765,6143
84404,56363
84326,1763
84092,29525
84780,18756
84096,33396
84664,8033
84302,23703
84315,7581
84074,44310
84604,49145
84109,23858
84653,7947
84044,26524
84056,3310
84004,9818
84724,1214
84738,6878
84108,20738
84340,3369
84660,37995
84542,1806
84060,7596
84334,230
84745,4066
84655,10547
84520,1302
84321,44074
84663,29975
84651,23457
84098,17282
84301,883
84784,2745
84627,6310
84312,4028
84335,11372
84513,1710
84529,180
84314,1031
84746,1149
84333,2722
84311,714
84501,13612
84339,5046
84721,20961
84634,3395
84319,7905
84622,1517
84737,14838
84652,872
84620,1151
84642,3548
84066,11283
84337,11393
84720,19705
84309,535
84324,701
84754,3652
84325,2078
84032,17249
84776,538
84327,951
84320,2237
84049,4372
84722,615
84723,687
84338,481
84632,1148
84646,1657
84006,826
84026,1668
84648,5776
84713,3792
84647,4019
84310,4111
84628,721
84774,1399
84621,240
84782,794
84701,8692
84001,725
84645,2620
84752,994
84328,1666
84736,246
84029,9473
84078,25851
84013,1011
84772,171
84050,9290
84633,1048
84730,268
84667,405
84657,505
84643,605
84757,1167
84635,863
84665,528
84076,390
84761,3131
84711,735
84053,1115
84033,1032
84623,405
84036,6045
84631,3067
84739,507
84305,751
84306,318
84330,502
84662,1371
84656,345
84783,805
84747,1097
84715,459
84537,1505
84007,740
84523,1797
84528,2742
84763,245
84521,840
84308,325
84061,391
84526,4134
84725,1964
84624,5668
84073,191
84654,2689
84071,1175
84511,4672
84744,411
84518,702
84317,2304
84028,824
84039,1102
84629,2531
84516,227
84052,1403
84539,379
84742,260
84055,1406
84080,304
84732,77
84024,63
84069,505
84051,402
84017,3556
84636,474
84082,743
84758,533
84532,9772
84718,189
84764,331
84638,294
84046,793
84534,2654
84522,321
84751,1680
84002,302
84749,218
84637,729
84085,531
84038,347
84021,3323
84331,272
84626,410
84639,963
84064,692
84710,131
84759,2112
84741,5556
84086,401
84729,396
84760,559
84512,1093
84740,191
84750,469
84640,121
84649,760
84773,321
84072,372
84779,641
84307,1375
84304,40
84630,294
84022,896
84766,147
84781,188
84767,679
84726,961
84756,366
84731,194
84536,1454
84027,452
84714,835
84735,258
84733,202
84023,266
84530,460
84316,254
84719,90
84755,112
84535,2601
84035,748
84018,179
84716,297
84531,642
84762,248
84525,1183
84743,34
84063,334
84336,281
84712,201
84775,431
84031,259
84083,1516
84728,158
84329,202
84034,209
84734,261
84313,68
84533,267
84753,26
84515,15
84540,46
